Baldwin, Tammy 
Balint, Becca 
Barragan, Nanette Diaz 
Beatty, Joyce 
Blackburn, Marsha 
Blunt Rochester, Lisa 
Boebert, Lauren 
Bonamici, Suzanne 
Britt, Katie Boyd 
Brown, Shontel M. 
Brownley, Julia 
Budzinski, Nikki 
Bush, Cori 
Cammack, Kat 
Cantwell, Maria 
Capito, Shelley Moore 
Caraveo, Yadira 
Castor, Kathy 
Chavez-DeRemer, Lori 
Cherfilus-McCormick, Sheila 
Chu, Judy 
Clark, Katherine M. 
Clarke, Yvette D. 
Collins, Susan M. 
Cortez Masto, Catherine 
Craig, Angie 
Crockett, Jasmine 
Davids, Sharice 
De La Cruz, Monica 
Dean, Madeleine 
DeGette, Diana 
DeLauro, Rosa L. 
DelBene, Suzan K. 
Dingell, Debbie 
Duckworth, Tammy 
Ernst, Joni 
Escobar, Veronica 
Eshoo, Anna G. 
Fischbach, Michelle 
Fischer, Deb 
Fletcher, Lizzie 
Foushee, Valerie P. 
Foxx, Virginia 
Frankel, Lois 
Garcia, Sylvia R. 
Gillibrand, Kirsten E. 
González-Colón, Jenniffer 
Graham, Lindsey 
Granger, Kay 
Greene, Marjorie Taylor 
Hageman, Harriet M. 
Hassan, Margaret Wood 
Hayes, Jahana 
Houchin, Erin 
Houlahan, Chrissy 
Hoyle, Val T. 
Hyde-Smith, Cindy 
Jackson Lee, Sheila 
Jacobs, Sara 
Jayapal, Pramila 
Kamlager-Dove, Sydney 
Kaptur, Marcy 
Kelly, Robin L. 
Kiggans, Jennifer A 
Kim, Young 
Klobuchar, Amy 
Kuster, Ann M. 
Lee, Barbara 
Lee, Laurel M. 
Lee, Susie 
Leger Fernandez, Teresa 
Lesko, Debbie 
Letlow, Julia 
Lofgren, Zoe 
Lummis, Cynthia M. 
Luna, Anna Paulina 
Mace, Nancy 
Malliotakis, Nicole 
Mann, Tracey 
Manning, Kathy E. 
Matsui, Doris O. 
McBath, Lucy 
McClain, Lisa C. 
McCollum, Betty 
McMorris Rodgers, Cathy 
Meng, Grace 
Miller, Carol D. 
Miller, Mary E. 
Miller-Meeks, Mariannette 
Moore, Gwen 
Murkowski, Lisa 
Murray, Patty 
Napolitano, Grace F. 
Norton, Eleanor Holmes 
Ocasio-Cortez, Alexandria 
Omar, Ilhan 
Pelosi, Nancy 
Peltola, Mary Sattler 
Perez, Marie Gluesenkamp 
Pingree, Chellie 
Plaskett, Stacey E. 
Porter, Katie 
Pressley, Ayanna 
Radewagen, Aumua Amata Coleman 
Ramirez, Delia C. 
Rosen, Jacky 
Ross, Deborah K. 
Salazar, Maria Elvira 
Salinas, Andrea 
Scanlon, Mary Gay 
Schakowsky, Janice D. 
Scholten, Hillary J. 
Schrier, Kim 
Sewell, Terri A. 
Shaheen, Jeanne 
Sherrill, Mikie 
Sinema, Kyrsten 
Slotkin, Elissa 
Smith, Tina 
Spanberger, Abigail Davis 
Spartz, Victoria 
Stabenow, Debbie 
Stansbury, Melanie Ann 
Steel, Michelle 
Stefanik, Elise M. 
Stevens, Haley M. 
Strickland, Marilyn 
Sykes, Emilia Strong 
Sánchez, Linda T. 
Tenney, Claudia 
Titus, Dina 
Tlaib, Rashida 
Tokuda, Jill N. 
Torres, Norma J. 
Trahan, Lori 
Underwood, Lauren 
Velazquez, Nydia M. 
Wagner, Ann 
Warren, Elizabeth 
Wasserman Schultz, Debbie 
Waters, Maxine 
Watson Coleman, Bonnie 
Wexton, Jennifer 
Wild, Susan 
Williams, Nikema 
Wilson, Frederica S. 
