Adams, Alma S. 
Aderholt, Robert B. 
Aguilar, Pete 
Alford, Mark 
Allen, Rick W. 
Allred, Colin Z. 
Amodei, Mark E. 
Armstrong, Kelly 
Arrington, Jodey C. 
Auchincloss, Jake 
Babin, Brian 
Bacon, Don 
Baird, James R. 
Balderson, Troy 
Banks, Jim 
Barr, Andy 
Barrasso, John 
Bean, Aaron 
Bennet, Michael F. 
Bentz, Cliff 
Bera, Ami 
Bergman, Jack 
Beyer, Donald S., Jr. 
Bice, Stephanie I. 
Biggs, Andy 
Bilirakis, Gus M. 
Bishop, Dan 
Bishop, Sanford D., Jr. 
Blumenauer, Earl 
Blumenthal, Richard 
Booker, Cory A. 
Boozman, John 
Bost, Mike 
Bowman, Jamaal 
Boyle, Brendan F. 
Braun, Mike 
Brecheen, Josh 
Brown, Sherrod 
Buchanan, Vern 
Buck, Ken 
Bucshon, Larry 
Budd, Ted 
Burchett, Tim 
Burgess, Michael C. 
Burlison, Eric 
Calvert, Ken 
Carbajal, Salud O. 
Cardin, Benjamin L. 
Carl, Jerry L.
Carper, Thomas R. 
Carson, Andre 
Carter, Earl L. "Buddy" 
Carter, John R. 
Carter, Troy 
Cartwright, Matt 
Casar, Greg 
Case, Ed 
Casey, Robert P., Jr. 
Cassidy, Bill 
Casten, Sean 
Castro, Joaquin 
Cicilline, David N. 
Ciscomani, Juan 
Cleaver, Emanuel 
Cline, Ben 
Cloud, Michael 
Clyburn, James E. 
Clyde, Andrew S. 
Cohen, Steve 
Cole, Tom 
Collins, Mike 
Comer, James 
Connolly, Gerald E. 
Coons, Christopher A. 
Cornyn, John 
Correa, J. Luis 
Costa, Jim 
Cotton, Tom 
Courtney, Joe 
Cramer, Kevin 
Crane, Elijah 
Crapo, Mike 
Crawford, Eric A. "Rick" 
Crenshaw, Dan 
Crow, Jason 
Cruz, Ted 
Cuellar, Henry 
Curtis, John R. 
Cárdenas, Tony 
D'Esposito, Anthony 
Daines, Steve 
Davidson, Warren 
Davis, Danny K. 
Davis, Donald G. 
Deluzio, Christopher R. 
DeSaulnier, Mark 
DesJarlais, Scott 
Diaz-Balart, Mario 
Doggett, Lloyd 
Donalds, Byron 
Duarte, John S. 
Duncan, Jeff 
Dunn, Neal P. 
Durbin, Richard J. 
Edwards, Chuck 
Ellzey, Jake 
Emmer, Tom 
Espaillat, Adriano 
Estes, Ron 
Evans, Dwight 
Ezell, Mike 
Fallon, Pat 
Feenstra, Randy 
Feinstein, Dianne 
Ferguson, A. Drew, IV 
Finstad, Brad 
Fitzgerald, Scott 
Fitzpatrick, Brian K. 
Fleischmann, Charles J. "Chuck" 
Flood, Mike 
Foster, Bill 
Franklin, C. Scott 
Frost, Maxwell 
Fry, Russell 
Fulcher, Russ 
Gaetz, Matt 
Gallagher, Mike 
Gallego, Ruben 
Garamendi, John 
Garbarino, Andrew R. 
Garcia, Jesus G. "Chuy" 
Garcia, Mike 
Garcia, Robert 
Gimenez, Carlos A. 
Golden, Jared F. 
