Adams, Alma S.
Aderholt, Robert B.
Aguilar, Pete
Alford, Mark
Allen, Rick W.
Allred, Colin Z.
Amodei, Mark E.
Armstrong, Kelly
Arrington, Jodey C.
Auchincloss, Jake
Babin, Brian
Bacon, Don
Baird, James R.
Balderson, Troy
Baldwin, Tammy
Balint, Becca
Banks, Jim
Barr, Andy
Barragan, Nanette Diaz
Barrasso, John
Bean, Aaron
Beatty, Joyce
Bennet, Michael F.
Bentz, Cliff
Bera, Ami
Bergman, Jack
Beyer, Donald S., Jr.
Bice, Stephanie I.
Biggs, Andy
Bilirakis, Gus M.
Bishop, Dan
Bishop, Sanford D., Jr.
Blackburn, Marsha
Blumenauer, Earl
Blumenthal, Richard
Blunt Rochester, Lisa
Boebert, Lauren
Bonamici, Suzanne
Booker, Cory A.
Boozman, John
Bost, Mike
Bowman, Jamaal
Boyle, Brendan F.
Braun, Mike
Brecheen, Josh
Britt, Katie Boyd
Brown, Sherrod
Brown, Shontel M.
Brownley, Julia
Buchanan, Vern
Buck, Ken
Bucshon, Larry
Budd, Ted
Budzinski, Nikki
Burchett, Tim
Burgess, Michael C.
Burlison, Eric
Bush, Cori
Calvert, Ken
Cammack, Kat
Cantwell, Maria
Capito, Shelley Moore
Caraveo, Yadira
Carbajal, Salud O.
Cardin, Benjamin L.
Carl, Jerry L.
Carper, Thomas R.
Carson, Andre
Carter, Earl L. "Buddy"
Carter, John R.
Carter, Troy
Cartwright, Matt
Casar, Greg
Case, Ed
Casey, Robert P., Jr.
Cassidy, Bill
Casten, Sean
Castor, Kathy
Castro, Joaquin
Chavez-DeRemer, Lori
Cherfilus-McCormick, Sheila
Chu, Judy
Cicilline, David N.
Ciscomani, Juan
Clark, Katherine M.
Clarke, Yvette D.
Cleaver, Emanuel
Cline, Ben
Cloud, Michael
Clyburn, James E.
Clyde, Andrew S.
Cohen, Steve
Cole, Tom
Collins, Mike
Collins, Susan M.
Comer, James
Connolly, Gerald E.
Coons, Christopher A.
Cornyn, John
Correa, J. Luis
Cortez Masto, Catherine
Costa, Jim
Cotton, Tom
Courtney, Joe
Craig, Angie
Cramer, Kevin
Crane, Elijah
Crapo, Mike
Crawford, Eric A. "Rick"
Crenshaw, Dan
Crockett, Jasmine
Crow, Jason
Cruz, Ted
Cuellar, Henry
Curtis, John R.
Cárdenas, Tony
D'Esposito, Anthony
Daines, Steve
Davids, Sharice
Davidson, Warren
Davis, Danny K.
Davis, Donald G.
De La Cruz, Monica
Dean, Madeleine
DeGette, Diana
DeLauro, Rosa L.
DelBene, Suzan K.
Deluzio, Christopher R.
DeSaulnier, Mark
DesJarlais, Scott
Diaz-Balart, Mario
Dingell, Debbie
Doggett, Lloyd
Donalds, Byron
Duarte, John S.
Duckworth, Tammy
Duncan, Jeff
Dunn, Neal P.
Durbin, Richard J.
Edwards, Chuck
Ellzey, Jake
Emmer, Tom
Ernst, Joni
Escobar, Veronica
Eshoo, Anna G.
Espaillat, Adriano
Estes, Ron
Evans, Dwight
Ezell, Mike
Fallon, Pat
Feenstra, Randy
Feinstein, Dianne
Ferguson, A. Drew, IV
Finstad, Brad
Fischbach, Michelle
Fischer, Deb
Fitzgerald, Scott
Fitzpatrick, Brian K.
Fleischmann, Charles J. "Chuck"
Fletcher, Lizzie
Flood, Mike
Foster, Bill
Foushee, Valerie P.
Foxx, Virginia
Frankel, Lois
Franklin, C. Scott
Frost, Maxwell
Fry, Russell
Fulcher, Russ
Gaetz, Matt
Gallagher, Mike
Gallego, Ruben
Garamendi, John
Garbarino, Andrew R.
Garcia, Jesus G. "Chuy"
Garcia, Mike
Garcia, Robert
Garcia, Sylvia R.
Gillibrand, Kirsten E.
Gimenez, Carlos A.
Golden, Jared F.
Goldman, Daniel S.
Gomez, Jimmy
Gonzales, Tony
Gonzalez, Vicente
González-Colón, Jenniffer
Good, Bob
Gooden, Lance
Gosar, Paul A.
Gottheimer, Josh
Graham, Lindsey
Granger, Kay
Grassley, Chuck
Graves, Garret
Graves, Sam
Green, Al
Green, Mark E.
Greene, Marjorie Taylor
Griffith, H. Morgan
Grijalva, Raúl M.
Grothman, Glenn
Guest, Michael
Guthrie, Brett
Hageman, Harriet M.
Hagerty, Bill
Harris, Andy
Hassan, Margaret Wood
Hawley, Josh
Hayes, Jahana
Heinrich, Martin
Hern, Kevin
Hickenlooper, John W.
Higgins, Brian
Higgins, Clay
Hill, J. French
Himes, James A.
Hirono, Mazie K.
Hoeven, John
Horsford, Steven
Houchin, Erin
Houlahan, Chrissy
Hoyer, Steny H.
Hoyle, Val T.
Hudson, Richard
Huffman, Jared
Huizenga, Bill
Hunt, Wesley
Hyde-Smith, Cindy
Issa, Darrell E.
Ivey, Glenn
Jackson Lee, Sheila
Jackson, Jeff
Jackson, Jonathan L.
Jackson, Ronny
Jacobs, Sara
James, John
Jayapal, Pramila
Jeffries, Hakeem S.
Johnson, Bill
Johnson, Dusty
Johnson, Henry C. "Hank," Jr.
Johnson, Mike
Johnson, Ron
Jordan, Jim
Joyce, David P.
Joyce, John
Kaine, Tim
Kamlager-Dove, Sydney
Kaptur, Marcy
Kean, Thomas H.
Keating, William R.
Kelly, Mark
Kelly, Mike
Kelly, Robin L.
Kelly, Trent
Kennedy, John
Khanna, Ro
Kiggans, Jennifer A
Kildee, Daniel T.
